cluster,pathway,go_min_level,go_max_level,selected_gene_count,mapped_selected_gene_count,background_size,pathway_size,overlap_count,overlap_genes,gene_ratio,p_value,adjusted_p_value,significant_fdr_0_05
0,GOBP_CELL_CHEMOTAXIS,5,5,75,74,18000,328,9,TMSB4X;CD74;CCL5;FCER1G;CCL4;CXCR4;DUSP1;CX3CR1;CCL3,0.12162162162162163,7.750712706279717e-6,0.0011675936309363032,TRUE
0,GOBP_NATURAL_KILLER_CELL_CHEMOTAXIS,6,9,75,74,18000,10,3,CCL5;CCL4;CCL3,0.04054054054054054,7.840053121957775e-6,0.0011675936309363032,TRUE
0,GOBP_OSTEOCLAST_DIFFERENTIATION,7,7,75,74,18000,116,6,FCER1G;TYROBP;CCL3;PIK3R1;FOS;JUNB,0.08108108108108109,8.153631385827366e-6,0.0011675936309363032,TRUE
0,GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION,7,11,75,74,18000,116,6,SPON2;FCER1G;TYROBP;FCGR3A;CCL3;PIK3R1,0.08108108108108109,8.153631385827366e-6,0.0011675936309363032,TRUE
0,GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,5,5,75,74,18000,421,10,B2M;SPON2;CD74;FCER1G;TYROBP;CX3CR1;KLRD1;CD69;TBX21;JUNB,0.13513513513513514,8.317474844944786e-6,0.0011675936309363032,TRUE
0,GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,6,6,75,74,18000,256,8,CD74;FCER1G;TYROBP;CCL3;PIK3R1;JUN;FOS;JUNB,0.10810810810810811,1.005860712592514e-5,0.0013646297568671948,TRUE
0,GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,5,5,75,74,18000,121,6,SPON2;FCER1G;TYROBP;CX3CR1;FCGR3A;CCL3,0.08108108108108109,1.039160681873711e-5,0.0013646297568671948,TRUE
0,GOBP_CELLULAR_RESPONSE_TO_METAL_ION,6,6,75,74,18000,184,7,B2M;JUND;FOSB;ALOX5AP;JUN;FOS;JUNB,0.0945945945945946,1.0509278065977627e-5,0.0013646297568671948,TRUE
0,GOBP_RESPONSE_TO_STEROID_HORMONE,5,6,75,74,18000,342,9,TXNIP;ZFP36L2;DUSP1;JUND;ZFP36;FOSB;JUN;FOS;JUNB,0.12162162162162163,1.0834383773091615e-5,0.001372531446766777,TRUE
0,GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,6,8,75,74,18000,126,6,CD74;CCL5;CCL4;DUSP1;CX3CR1;CCL3,0.08108108108108109,1.31029489240894e-5,0.0016203980169457225,TRUE
0,GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,7,8,75,74,18000,135,6,NKG7;CD69;TBX21;PIK3R1;JUNB;PTGER4,0.08108108108108109,1.9411065739086224e-5,0.002344676173228229,TRUE
0,GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,7,9,75,74,18000,140,6,CD69;TBX21;PIK3R1;JUNB;PRDM1;PTGER4,0.08108108108108109,2.3854018804043943e-5,0.0028158584924591872,TRUE
0,GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS,6,7,75,74,18000,145,6,TMSB4X;CD74;CCL5;CCL4;CX3CR1;CCL3,0.08108108108108109,2.908205909911259e-5,0.003286376216859114,TRUE
0,GOBP_NEUROINFLAMMATORY_RESPONSE,6,6,75,74,18000,87,5,ZEB2;TYROBP;CX3CR1;CCL3;JUN,0.06756756756756757,2.9105372733061077e-5,0.003286376216859114,TRUE
