leiden_0_4,marker_direction,marker_rank,gene,scores,logfoldchanges,pvals_adj,pct_nz_group,pct_nz_reference
13,up,1,KRT81,118.320946,4.955632,0.0,0.6489054109871953,0.0600793150735702
13,up,2,IGFBP2,116.55868,5.06768,0.0,0.5923172242874845,0.0522929715972968
13,up,3,KRT86,107.63223,4.7515497,0.0,0.6815365551425031,0.0801551709227481
13,up,4,H2AC19,96.512085,4.3383303,0.0,0.3180503923998348,0.0208788900831449
13,up,5,XCL1,93.267006,5.7825646,0.0,0.9116067740603055,0.2171589884239526
13,up,6,ITGAD,90.65538,4.4133596,0.0,0.5634035522511359,0.0759052666691375
13,up,7,IFI44L,90.064995,4.0927124,0.0,0.6786451879388682,0.1044253363478003
13,up,8,MT-ATP8,85.32236,5.3168597,0.0,0.9913258983890956,0.3168000938932335
13,up,9,BGLAP,85.17598,5.054483,0.0,0.3040066088393225,0.0252801354039262
13,up,10,CAPG,84.25508,4.3055396,0.0,0.7814952498967369,0.1711451268176371
13,up,11,ZNF683,73.73925,3.9359536,0.0,0.4188351920693928,0.0601657956833821
13,up,12,SRGAP3,73.03501,3.4450004,0.0,0.3965303593556382,0.0528674499339041
13,up,13,ADGRG3,72.33016,3.4517899,0.0,0.4105741429161503,0.0576455036260084
13,up,14,XCL2,70.382416,4.290861,0.0,0.8814539446509707,0.3120869006584881
13,up,15,MX1,69.74021,3.3526306,0.0,0.5997521685254027,0.124074966334334
13,up,16,TNFRSF18,69.45787,3.5323446,0.0,0.7443205287071458,0.1954770641068406
13,up,17,KIR2DL4,67.825,3.3705819,0.0,0.5097067327550598,0.0972042054285114
13,up,18,MT-ND4L,67.292015,4.366827,0.0,0.9971086327963652,0.4872657302052061
13,up,19,OASL,63.808613,3.1241639,0.0,0.5220983064849236,0.110772395389348
13,up,20,BCO2,63.111645,3.2992966,0.0,0.2866584056175134,0.0367974994749391
13,up,21,PCBP3,62.53036,3.752577,0.0,0.1833952912019826,0.016239823085381
13,up,22,COTL1,62.465973,3.7808027,0.0,0.8711276332094176,0.3394580136639363
13,up,23,MT-ND3,58.59355,3.394671,0.0,0.9991738950846758,0.6298073953275762
13,up,24,CXCR3,58.38668,2.9237397,0.0,0.4684014869888476,0.1027451416428845
13,up,25,GSTM2,57.726955,3.1288295,0.0,0.3345724907063197,0.0569073298494001
13,up,26,CD9,56.90622,3.005461,0.0,0.3337463857909954,0.0571327971535525
13,up,27,PLP2,54.756256,2.794107,0.0,0.6596447748864106,0.2139561172677069
13,up,28,MT-ND5,54.036243,3.0885785,0.0,0.9925650557620818,0.586437369506937
13,up,29,CD3E,53.937714,2.9782822,0.0,0.8203221809169765,0.3474296727326637
13,up,30,MT-ND6,52.849216,2.799503,0.0,0.74514663362247,0.2621011081872428
13,up,31,CLNK,52.842262,2.8262742,0.0,0.2759190417182982,0.0452324475248014
13,up,32,IRF7,52.6104,2.640344,0.0,0.5881866997108632,0.1740576702123716
13,up,33,IFITM1,52.292637,3.2415254,0.0,0.9458901280462618,0.5978528100021002
13,up,34,MYO1E,52.209263,2.6661723,0.0,0.3469640644361834,0.0694315753060795
13,up,35,ZFHX3,51.24832,2.7033346,0.0,0.3213548120611317,0.0621702926750923
13,up,36,ITGA1,50.744556,2.671601,0.0,0.32878975629905,0.065487441780018
13,up,37,ID3,50.389885,2.796613,0.0,0.3399421726559273,0.0716182992970361
13,up,38,NR4A1,49.559162,2.7546988,0.0,0.5002065262288311,0.1479467032356102
13,up,39,SPRY2,49.259624,2.5592697,0.0,0.3610078479966956,0.0801860568548237
13,up,40,KLRC1,49.249992,2.838185,0.0,0.8066914498141264,0.3366628368110892
13,up,41,TMIGD2,48.70827,2.4919004,0.0,0.6517967781908303,0.220599681257181
13,up,42,PPP1R2C,48.116882,4.1690693,0.0,0.0875671210243701,0.0063192617026796
13,up,43,PPFIBP1,47.99655,3.0131192,0.0,0.1664601404378356,0.021190837997109
13,up,44,XAF1,47.580345,2.415702,0.0,0.6365138372573317,0.2173134180843309
13,up,45,LINC00996,47.200726,2.5441053,0.0,0.332507228418009,0.0736783909664825
13,up,46,TNFRSF4,46.75296,2.5507267,0.0,0.3432465923172242,0.0794571488578382
13,up,47,RSAD2,46.651768,2.8022175,0.0,0.1990912845931433,0.0305060351111275
13,up,48,RBKS,46.463818,2.9571152,0.0,0.2201569599339116,0.0374584584213582
13,up,49,IFI44,46.058147,2.4690359,0.0,0.3114415530772408,0.0674610528396525
13,up,50,SPINK2,45.254948,2.7478683,0.0,0.2635274679884345,0.0530990944244715
13,down,1,FCGR3A,-47.30058,-6.008404,0.0,0.0351094589012804,0.5524659328169206
13,down,2,FGFBP2,-45.822803,-11.226966,0.0,0.0012391573729863,0.5059517191109794
13,down,3,SPON2,-43.573956,-6.7765827,0.0,0.0185873605947955,0.4878185883893604
13,down,4,MALAT1,-36.220493,-0.27688485,7.623879974546682e-286,0.9975216852540272,0.9105419863360636
13,down,5,CD74,-35.1814,-2.2479162,9.870770872875494e-270,0.5179677819083024,0.7426522367592009
13,down,6,FTL,-34.726784,-1.0865574,7.670805039353328e-263,0.8587360594795539,0.8770585473728426
13,down,7,PPP2R5C,-34.44046,-3.188368,1.4549142384738538e-258,0.1358942585708385,0.4669458754926306
13,down,8,PRF1,-34.29992,-1.2819787,1.8088804792456654e-256,0.7670384138785625,0.7894753097858987
13,down,9,ZEB2,-33.294674,-3.1522994,1.0133752710236638e-241,0.1317637339942172,0.4504929394759275
13,down,10,KLRF1,-32.668877,-2.5559473,9.007242780786444e-233,0.2280049566294919,0.5180929790099206
13,down,11,S1PR5,-31.678947,-7.6570015,6.18291607192631e-219,0.0033044196612969,0.3063359401060005
13,down,12,B2M,-31.56186,-0.6725465,2.4906068019080706e-217,0.9781082197439076,0.9908176123939068
13,down,13,CXCR4,-28.406315,-2.1828053,3.0173648655807254e-176,0.2804626187525816,0.5509123704335149
13,down,14,SYNE2,-28.06457,-2.462079,4.6135110602908834e-172,0.1920693928128872,0.438011934324154
13,down,15,TMSB4X,-27.738546,-0.5073164,4.0256536511684704e-168,0.9785212722015696,0.9715108162534128
13,down,16,RPS4Y1,-27.537268,-4.5136576,1.0392070642442273e-165,0.0198265179677819,0.272620856652212
13,down,17,TXNIP,-27.309647,-1.520123,5.2550966713697245e-163,0.584056175134242,0.6812448266063773
13,down,18,CX3CR1,-27.290825,-10.74179,8.651533132747021e-163,0.0004130524576621,0.2406415625810755
13,down,19,TGFBR3,-27.010538,-5.3195553,1.7098953269777674e-159,0.0123915737298636,0.2526685445313368
13,down,20,S100A4,-26.365133,-1.1075605,5.137755341703492e-152,0.7162329615861215,0.7688960132438877
13,down,21,PRSS23,-25.90032,-6.113182,9.641583108943997e-147,0.0061957868649318,0.229284805356856
13,down,22,CEP78,-25.761084,-3.3856287,3.45978517499404e-145,0.0557620817843866,0.2872638770492816
13,down,23,CLEC2D,-25.689325,-3.8894656,2.1821563591642968e-144,0.0326311441553077,0.2616347306129004
13,down,24,HLA-DRA,-25.384548,-3.5682259,5.224807198405201e-141,0.060718711276332,0.2862106667655016
13,down,25,ADGRG1,-25.042826,-2.9624443,2.863121548239989e-137,0.0743494423791821,0.2991796696440705
13,down,26,PDE4D,-25.004824,-3.5905137,7.371015029852309e-137,0.0454357703428335,0.2658969892393412
13,down,27,RORA,-23.120249,-2.0890749,3.598958945130221e-117,0.1648079306071871,0.3650778943206948
13,down,28,HLA-DPA1,-23.08017,-2.3179119,8.987575950571201e-117,0.1358942585708385,0.33529150142693
13,down,29,GZMH,-22.795557,-1.6370308,6.077666980560141e-114,0.3552251135894259,0.5154059029193383
13,down,30,MTSS1,-22.558231,-4.4893446,1.3116966674477132e-111,0.0152829409334985,0.1977039398094955
13,down,31,HLA-DPB1,-22.400204,-2.173934,4.5555290856552554e-110,0.1474597273853779,0.3406532992352643
13,down,32,SYNE1,-22.196712,-2.0806434,4.247199880616987e-108,0.1743081371334159,0.3602813090693451
13,down,33,HLA-DRB1,-21.82985,-2.7392125,1.3424375827694081e-104,0.0879801734820322,0.2727104258552315
13,down,34,S100A9,-21.444944,-5.4265947,5.533391447274228e-101,0.0066088393225939,0.171515758002545
13,down,35,CD226,-20.990072,-4.0162826,8.507722838751418e-97,0.0181743081371334,0.1823103912629875
13,down,36,LYAR,-20.84422,-2.453908,1.800923051167019e-95,0.0875671210243701,0.2625396884227172
13,down,37,ARID5B,-20.510355,-2.8827724,1.7847894571425098e-92,0.0549359768690623,0.2235338448043685
13,down,38,AKR1C3,-20.432028,-4.858592,8.85916544463358e-92,0.0082610491532424,0.1613048688583324
