parent_cluster,child_cluster,child_annotation,child_free_label,flow_cells,parent_fraction,child_fraction,gene,parent_selected_mass50,child_selected_mass50,parent_rank,child_rank,parent_mean_abs_attr,child_mean_abs_attr,parent_attribution_share,child_attribution_share,log2_child_parent_attribution_change,gene_status,taxonomy_tier,taxonomy_categories,displayed_in_parent_heatmap,n_sibling_children_selected,child_selection_scope
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,IER2,True,False,66,75,2.6321855,2.2032156,0.002632185668133123,0.0022032155092366577,-0.2566506365643628,parent_not_retained,not_in_taxonomy,,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,IGKC,True,True,34,23,4.452237,6.129038,0.0044522372843904855,0.006129037747509063,0.46113010605899873,inherited_stable,not_in_taxonomy,,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,IL2RB,True,False,58,63,2.9756143,2.588524,0.0029756144900699344,0.0025885238933635504,-0.2010579930368919,parent_not_retained,core,CIML_cytokine_preactivated; NK2; adaptive_NK_CMV,False,1,child_exclusive
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,JUN,True,False,55,96,3.0701516,1.6939613,0.0030701517961085863,0.0016939612302158222,-0.8579091314801066,parent_not_retained,not_in_taxonomy,,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,JUNB,True,False,49,57,3.2536466,2.8612134,0.003253646807829488,0.002861213282129878,-0.18543060716164064,parent_not_retained,not_in_taxonomy,,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,JUND,True,True,25,40,5.3366075,4.266242,0.005336607840880416,0.004266241824248529,-0.32295725454481605,inherited_stable,not_in_taxonomy,,False,4,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,KLF2,True,False,33,45,4.737391,3.7275593,0.004737391302604943,0.003727559146440021,-0.34586159714722337,parent_not_retained,support,NK1; cNK,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,KLF6,True,True,27,42,5.1755342,3.9560857,0.005175534530591719,0.0039560855370256815,-0.3876342522955231,inherited_stable,not_in_taxonomy,,False,4,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,KLRB1,True,True,20,15,6.010773,8.34095,0.0060107733839433195,0.008340949656387464,0.4726610214713505,inherited_stable,negative_expected_low,adaptive_NK_CMV,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,KLRD1,True,True,36,33,4.275262,4.8184676,0.004275262273086054,0.0048184674014991255,0.17256141754359366,inherited_stable,core,Homeostatic_quiescent; NK1; adaptive_NK_CMV,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,KLRF1,True,True,44,39,3.509592,4.469331,0.0035095922241782213,0.0044693308158821055,0.34875542054676273,inherited_stable,support,Homeostatic_quiescent,False,1,child_exclusive
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,LGALS1,True,True,53,36,3.1019738,4.6621723,0.0031019739981412568,0.004662172107937844,0.5878156703370343,inherited_stable,not_in_taxonomy,,False,1,child_exclusive
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,MT2A,True,True,51,43,3.1939769,3.9056673,0.0031939771040180344,0.003905667139102711,0.29021502969699714,inherited_stable,not_in_taxonomy,,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,NFKBIA,True,False,47,48,3.3780982,3.5324686,0.0033780984157789416,0.003532468454476949,0.0644653176089395,parent_not_retained,not_in_taxonomy,,False,1,child_exclusive
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,NKG7,True,True,3,6,28.297049,25.698263,0.028297050807498454,0.02569826194133818,-0.1389809109742911,inherited_stable,core,Cytotoxic_activated; NK1,True,4,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,NR4A2,True,False,52,62,3.1359084,2.756832,0.0031359086003088584,0.002756831886429959,-0.18587221752307037,parent_not_retained,core,CIMP_cytokine_primed_memory_like; Checkpoint_exhausted,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,PIK3R1,True,False,60,91,2.8804002,1.8730235,0.0028804003839880514,0.0018730234228392024,-0.6209004230024494,parent_not_retained,not_in_taxonomy,,True,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,PRF1,True,True,13,17,7.5066643,8.198899,0.007506664779494668,0.008198898662239378,0.12725807018430366,inherited_stable,core,CIML_cytokine_preactivated; CIMP_cytokine_primed_memory_like; Cytotoxic_activated; NK1,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,REL,True,False,54,83,3.0770102,2.0660717,0.0030770103965466855,0.002066071614886418,-0.5746390557395744,parent_not_retained,not_in_taxonomy,,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,SCGB1A1,True,True,19,11,6.045789,10.468304,0.006045789386179996,0.010468303568749305,0.7920250399146379,inherited_stable,context,trNK,False,1,child_exclusive
